Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
2024-12-19,4.88,4.95,4.95,4.86
2024-12-20,4.87,4.88,4.9,4.85
2024-12-23,4.95,4.9,4.95,4.87
2024-12-24,4.88,4.94,4.98,4.88
2024-12-27,4.93,4.89,4.94,4.88
2024-12-30,4.9,4.93,4.94,4.88
2025-01-02,4.95,4.91,4.97,4.9
2025-01-03,4.95,4.95,4.97,4.92
2025-01-06,4.86,4.95,5.0,4.86
2025-01-07,4.92,4.86,4.92,4.85
2025-01-08,4.81,4.88,4.91,4.81
2025-01-09,4.93,4.83,4.95,4.83
2025-01-10,4.9,4.94,4.96,4.86
2025-01-13,4.75,4.91,4.92,4.72
2025-01-14,4.75,4.77,4.85,4.75
2025-01-15,4.94,4.79,4.94,4.78
2025-01-16,4.88,5.025,5.025,4.88
2025-01-17,4.94,4.86,4.97,4.84
2025-01-20,4.91,4.94,4.96,4.9
2025-01-21,4.91,4.93,4.97,4.9
2025-01-22,4.96,4.92,4.98,4.88
2025-01-23,4.9,4.96,4.98,4.9
2025-01-24,4.87,4.9,4.96,4.87
2025-01-30,4.78,4.87,4.87,4.78
2025-01-31,4.8,4.79,4.84,4.79
