Tanggal,Forecast
2024-07-01,4.572887264168047
2024-07-02,4.526909032301653
2024-07-03,4.546036729849224
2024-07-04,4.577693476628427
2024-07-05,4.569644312036082
2024-07-08,4.5906028266045285
2024-07-09,4.5463215544796585
2024-07-10,4.5285713039573565
2024-07-11,4.546200725146875
2024-07-12,4.545274695884556
2024-07-15,4.480018716408194
2024-07-16,4.401383558011036
2024-07-17,4.428326231036818
2024-07-18,4.502874102016461
2024-07-19,4.501389295333379
2024-07-22,4.497910510984621
2024-07-23,4.472367515861893
2024-07-24,4.518541711804627
2024-07-25,4.45595486062907
2024-07-26,4.577342327660263
2024-07-29,4.593984694768854
2024-07-30,4.540225553051205
2024-07-31,4.6716537578149575
2024-08-01,4.6890074581828545
2024-08-02,4.6884978690453805
2024-08-05,4.545231406685043
2024-08-06,4.566103113240325
2024-08-07,4.590101379748801
2024-08-08,4.6938871377292
2024-08-09,4.74911783451688
2024-08-12,4.752575567422336
2024-08-13,4.762765145466378
2024-08-14,4.89173533425221
2024-08-15,4.89186708247863
2024-08-16,4.980547189264995
2024-08-19,5.018136864032154
2024-08-20,5.1139189285269895
2024-08-21,5.15947898096815
2024-08-22,5.034741082522673
2024-08-23,5.16305362124981
2024-08-26,5.195616920745031
2024-08-27,5.12263953408576
2024-08-28,5.0437363600209295
2024-08-29,5.040574643551281
2024-08-30,5.09264238532299
2024-09-02,5.213387626392074
2024-09-03,5.1632968571439495
2024-09-04,5.0795845594139815
2024-09-05,5.101601212657757
2024-09-06,5.116676586472432
2024-09-09,5.067836658948854
2024-09-10,5.055845663090613
2024-09-11,5.038997717655474
2024-09-12,5.073752307231959
2024-09-13,5.070716424651915
2024-09-17,5.066120658595537
2024-09-18,5.231929770009915
2024-09-19,5.237561180416969
2024-09-20,5.232870304925141
2024-09-23,5.261546381924256
2024-09-24,5.244462961417897
2024-09-25,5.180743277609422
2024-09-26,5.216039046088482
2024-09-27,5.109027178883538
2024-09-30,5.024853874927975
2024-10-01,5.135752462639782
2024-10-02,5.0705548046518185
2024-10-03,5.170989374515458
2024-10-04,5.142071592114024
2024-10-07,5.117854932550169
2024-10-08,5.174724249755723
2024-10-09,5.109664974765549
2024-10-10,5.095730891030005
2024-10-11,5.102531026481761
2024-10-14,4.951027335912422
2024-10-15,4.94295284714125
2024-10-16,4.920235540485652
2024-10-17,4.9477865110069175
2024-10-18,4.92578864209431
2024-10-21,5.043230901744963
2024-10-22,5.223023719368234
2024-10-23,5.223790014266395
2024-10-24,5.224895790466437
2024-10-25,5.216232856298327
2024-10-28,5.151473759212962
2024-10-29,5.152163049500192
2024-10-30,5.129394932356967
2024-10-31,5.154607798546173
2024-11-01,5.105993547017563
2024-11-04,5.038351291274637
2024-11-05,5.161664846134787
2024-11-06,5.084383205939439
2024-11-07,5.059420860822191
2024-11-08,5.0227236457397035
2024-11-11,4.92430839715383
2024-11-12,4.966221310643868
2024-11-13,5.0039392518150345
2024-11-14,4.972942645716304
2024-11-15,4.971794755113045
2024-11-18,4.963981695760995
2024-11-19,4.963314301743562
2024-11-20,5.018897502762287
2024-11-21,4.9364519655195425
2024-11-22,4.935632065104063
2024-11-25,5.138694824737416
2024-11-26,5.178658165917342
2024-11-27,5.187644467730231
2024-11-28,5.071091573121586
2024-11-29,5.0038822715016655
2024-12-02,5.1016361896518685
2024-12-03,5.20502086359106
2024-12-04,5.178296422483552
2024-12-05,5.118198240953204
2024-12-06,5.190674871957926
2024-12-09,5.205549645151216
2024-12-10,5.25461720567241
2024-12-11,5.159769866642677
2024-12-12,5.129555995957117
2024-12-13,5.09966699349438
2024-12-16,5.0435398788293835
2024-12-18,5.030388641975124
2024-12-19,4.889567447206533
2024-12-20,4.895128449271153
2024-12-23,4.934407601604432
2024-12-24,4.942574321280682
2024-12-27,4.936771220585237
2024-12-30,4.913563093382892
2024-12-31,4.961341749550809
2025-01-02,4.964293595233969
2025-01-03,4.939562349101204
2025-01-06,4.9168904964088656
2025-01-07,4.864337746163199
2025-01-08,4.935155718406963
2025-01-09,4.907732994912877
2025-01-10,4.794842496532707
2025-01-13,4.835503383260267
2025-01-14,4.915246710789139
2025-01-15,4.9299649286941145
2025-01-16,4.942597110492892
2025-01-17,4.938456429002827
2025-01-20,4.959896689068902
2025-01-21,4.955629997913231
2025-01-22,4.9490263011534825
2025-01-23,4.938142463419015
2025-01-24,4.815937597662148
2025-01-30,4.8416049929562055
