Tanggal,Forecast_SARIMAX
2025-09-19,4.910949368673823
2025-09-22,4.924679101352521
2025-09-23,4.916781443774637
2025-09-24,4.918236959726736
2025-09-25,4.918091790919023
2025-09-26,4.914458635738915
2025-09-29,4.912693165985817
2025-09-30,4.91113281637593
2025-10-01,4.9248625490546285
2025-10-02,4.916964891476744
2025-10-03,4.918420407428843
2025-10-06,4.91827523862113
2025-10-07,4.914642083441022
2025-10-08,4.912876613687924
2025-10-09,4.911316264078037
2025-10-10,4.925045996756736
2025-10-13,4.917148339178851
2025-10-14,4.91860385513095
2025-10-15,4.918458686323238
2025-10-16,4.914825531143129
2025-10-17,4.9130600613900315
2025-10-20,4.911499711780144
2025-10-21,4.925229444458843
2025-10-22,4.9173317868809585
2025-10-23,4.918787302833057
2025-10-24,4.918642134025345
2025-10-27,4.915008978845236
2025-10-28,4.913243509092139
2025-10-29,4.911683159482251
2025-10-30,4.92541289216095
2025-10-31,4.917515234583066
2025-11-03,4.9189707505351645
2025-11-04,4.918825581727452
2025-11-05,4.9151924265473435
2025-11-06,4.913426956794246
2025-11-07,4.911866607184359
2025-11-10,4.925596339863057
2025-11-11,4.917698682285173
2025-11-12,4.919154198237272
2025-11-13,4.919009029429559
2025-11-14,4.915375874249451
2025-11-17,4.913610404496353
2025-11-18,4.912050054886466
2025-11-19,4.9257797875651645
2025-11-20,4.91788212998728
2025-11-21,4.919337645939379
2025-11-24,4.919192477131666
2025-11-25,4.915559321951558
2025-11-26,4.91379385219846
2025-11-27,4.912233502588573
2025-11-28,4.925963235267272
2025-12-01,4.918065577689387
2025-12-02,4.919521093641486
2025-12-03,4.919375924833774
2025-12-04,4.915742769653665
2025-12-05,4.9139772999005675
2025-12-08,4.91241695029068
2025-12-09,4.926146682969379
2025-12-10,4.9182490253914946
2025-12-11,4.919704541343593
2025-12-12,4.919559372535881
2025-12-15,4.915926217355772
2025-12-16,4.914160747602675
2025-12-17,4.9126003979927875
2025-12-18,4.926330130671486
2025-12-19,4.918432473093602
2025-12-22,4.919887989045701
2025-12-23,4.919742820237988
2025-12-24,4.9161096650578795
2025-12-25,4.914344195304782
2025-12-26,4.912783845694895
2025-12-29,4.926513578373593
2025-12-30,4.918615920795709
2025-12-31,4.920071436747808
