date,hasil forecast
2024-12-31,4.902002033811199
2025-01-01,4.901471175737419
2025-01-02,4.95486736741558
2025-01-03,4.9329697990253
2025-01-06,4.929368073394415
2025-01-07,4.8589385076850276
2025-01-08,4.890056707278445
2025-01-09,4.912388108301991
2025-01-10,4.8880888555105
2025-01-13,4.849259922466633
2025-01-14,4.803742492239804
2025-01-15,4.842581760012229
2025-01-16,4.878618082760972
2025-01-17,4.935919609981806
2025-01-20,4.9255926381305315
2025-01-21,4.9418887688585365
2025-01-22,4.904592445682707
2025-01-23,4.917938310008018
2025-01-24,4.917177072078965
2025-01-27,4.906155788400576
2025-01-28,4.901263357765341
2025-01-29,4.896154984304703
2025-01-30,4.831391396554536
2025-01-31,4.787641451138477
2025-02-03,4.794310968042754
2025-02-04,4.797892216935468
2025-02-05,4.7979920141314665
2025-02-06,4.793921685797221
2025-02-07,4.795897188457374
2025-02-10,4.79750312365462
2025-02-11,4.796979264916724
2025-02-12,4.796618065977387
2025-02-13,4.793751025222983
2025-02-14,4.797704143246833
2025-02-17,4.7921856417791755
2025-02-18,4.796450187282973
2025-02-19,4.797930600226736
2025-02-20,4.797903252100257
2025-02-21,4.798983861584691
2025-02-24,4.798633068686046
2025-02-25,4.797757398058386
2025-02-26,4.797292517890322
2025-02-27,4.797131331569666
2025-02-28,4.8001213555475974
2025-03-03,4.804409297972974
2025-03-04,4.79791572666493
2025-03-05,4.798182018377286
2025-03-06,4.7989281936947705
2025-03-07,4.799009776167513
2025-03-10,4.797874464767107
2025-03-11,4.797825526697151
2025-03-12,4.82250739869604
2025-03-13,4.818272204488803
2025-03-14,4.817897839282791
2025-03-17,4.8188253738891955
2025-03-18,4.816115065215163
2025-03-19,4.806563116855081
2025-03-20,4.811422122584663
2025-03-21,4.8074495288185
2025-03-24,4.803495586221241
2025-03-25,4.799061605752975
2025-03-26,4.796596960904328
2025-03-27,4.800309523992812
2025-03-28,4.799987434029991
2025-03-31,4.796431960806892
2025-04-01,4.790606876726036
2025-04-02,4.795648767417172
2025-04-03,4.790611667335308
2025-04-04,4.788449673227454
2025-04-07,4.7839697812498265
2025-04-08,4.781459812582012
2025-04-09,4.786837673617843
2025-04-10,4.788233240193648
2025-04-11,4.781813175518762
2025-04-14,4.781791179228746
2025-04-15,4.774828705043919
2025-04-16,4.775451860849958
2025-04-17,4.774901760481978
2025-04-18,4.773680974186003
2025-04-21,4.774441482138041
2025-04-22,4.774865948853068
2025-04-23,4.775619959713984
2025-04-24,4.775953787216302
2025-04-25,4.781231264265319
2025-04-28,4.775755111671233
2025-04-29,4.77885892793282
2025-04-30,4.777051905215811
2025-05-01,4.77037968373609
2025-05-02,4.771705079301152
2025-05-05,4.771743730268831
2025-05-06,4.773321052209778
2025-05-07,4.768326477266645
2025-05-08,4.768318847950384
2025-05-09,4.765717962772938
2025-05-12,4.7710003505064424
2025-05-13,4.769353208480849
2025-05-14,4.767856820239622
2025-05-15,4.769320300057245
2025-05-16,4.76368200650048
2025-05-19,4.768382743851048
2025-05-20,4.770333888310945
2025-05-21,4.76469439648949
2025-05-22,4.765131815512312
2025-05-23,4.766548699810478
2025-05-26,4.766408088697859
2025-05-27,4.761695965222156
2025-05-28,4.7661149636140925
2025-05-29,4.768912063712325
2025-05-30,4.768938769694658
2025-06-02,4.771705556471684
2025-06-03,4.773409359466083
2025-06-04,4.771019911647979
2025-06-05,4.766670248352061
2025-06-06,4.77025136224853
2025-06-09,4.767651806804173
2025-06-10,4.770064849066622
2025-06-11,4.764238437053752
2025-06-12,4.765129432947
2025-06-13,4.766912401351312
2025-06-16,4.764987434205691
2025-06-17,4.767718077624868
2025-06-18,4.768380359660273
2025-06-19,4.76757218768382
2025-06-20,4.766040612800598
2025-06-23,4.768135271208613
2025-06-24,4.766205520658691
2025-06-25,4.766948630023231
2025-06-26,4.7669209818013565
2025-06-27,4.765655532276546
2025-06-30,4.766630685153188
2025-07-01,4.764260352600968
2025-07-02,4.766507707667927
2025-07-03,4.769977557678604
2025-07-04,4.7665663360732955
2025-07-07,4.766699801799217
2025-07-08,4.769662272582327
2025-07-09,4.766489594973052
2025-07-10,4.767637980633981
2025-07-11,4.768159111944571
2025-07-14,4.767400558174413
2025-07-15,4.7660920863171725
2025-07-16,4.767344779914185
2025-07-17,4.7692644993361695
2025-07-18,4.769554956388506
2025-07-21,4.7702198786934344
2025-07-22,4.7709054085441425
2025-07-23,4.77077421044939
2025-07-24,4.766761292623275
2025-07-25,4.765177560997319
2025-07-28,4.765136104132877
2025-07-29,4.76930026895405
2025-07-30,4.766975801707861
2025-07-31,4.767898777564253
2025-08-01,4.766478632059591
2025-08-04,4.765141345785474
2025-08-05,4.766737935550166
2025-08-06,4.7701177970803075
2025-08-07,4.764543358071092
2025-08-08,4.765635040001816
2025-08-11,4.768818593951882
2025-08-12,4.768498616959577
2025-08-13,4.766294172905838
2025-08-14,4.764643414532201
2025-08-15,4.767604607284923
2025-08-18,4.768982644133161
2025-08-19,4.76559310259799
2025-08-20,4.764944549511763
2025-08-21,4.765183279213824
2025-08-22,4.764962656335454
2025-08-25,4.766239837461979
2025-08-26,4.767811525814979
2025-08-27,4.76989646874938
2025-08-28,4.769573080731776
2025-08-29,4.7663952194133925
2025-09-01,4.765715579914552
2025-09-02,4.764564322107987
2025-09-03,4.765460620951241
2025-09-04,4.765203769545978
2025-09-05,4.764144106066578
2025-09-08,4.766466715877907
2025-09-09,4.7679645750213835
2025-09-10,4.767684226946686
2025-09-11,4.765910978258967
2025-09-12,4.763213283252603
