Tanggal,Forecast,Actual,Error
2024-12-31,4.810309469559274,,
2025-01-01,4.804221894802185,,
2025-01-02,4.790308692282611,4.95,0.15969130771738893
2025-01-03,4.7868900511585215,4.95,0.16310994884147867
2025-01-06,4.797935646634094,4.86,0.062064353365906655
2025-01-07,4.808547808930842,4.92,0.11145219106915771
2025-01-08,4.805027190233826,4.81,0.004972809766173647
2025-01-09,4.792530032963558,4.93,0.13746996703644143
2025-01-10,4.787595353572502,4.9,0.11240464642749792
2025-01-13,4.796278124212948,4.75,-0.04627812421294841
2025-01-14,4.806771269110241,4.75,-0.05677126911024111
2025-01-15,4.805433191153094,4.94,0.1345668088469063
2025-01-16,4.79450027942239,4.88,0.08549972057760957
2025-01-17,4.788515994199559,4.94,0.15148400580044097
2025-01-20,4.795004037016652,4.91,0.11499596298334858
2025-01-21,4.8050434110979365,4.91,0.10495658890206361
2025-01-22,4.805504528357759,4.96,0.15449547164224064
2025-01-23,4.796201540830639,4.9,0.10379845916936148
2025-01-24,4.789578221585369,4.87,0.08042177841463083
2025-01-27,4.794081500883703,,
2025-01-28,4.803413640284088,,
2025-01-29,4.805304550963489,,
2025-01-30,4.797628624017036,4.78,-0.017628624017035577
2025-01-31,4.790717948816553,4.8,0.009282051183446605
2025-02-03,4.79347290002086,,
2025-02-04,4.801918302692365,,
2025-02-05,4.8048934161308585,,
2025-02-06,4.798786714773705,,
2025-02-07,4.791881041179248,,
2025-02-10,4.793137297544138,,
2025-02-11,4.8005820114757345,,
2025-02-12,4.804326663236449,,
2025-02-13,4.7996891606908,,
2025-02-14,4.793023207588382,,
2025-02-17,4.793032485540363,,
2025-02-18,4.79941911312866,,
2025-02-19,4.803654225927975,,
2025-02-20,4.800355411237897,,
2025-02-21,4.794109577379123,,
2025-02-24,4.7931166755358054,,
2025-02-25,4.798435215907814,,
2025-02-26,4.8029198297099525,,
2025-02-27,4.800809154490996,,
2025-02-28,4.795114038752828,,
2025-03-03,4.793349842357655,,
2025-03-04,4.7976287160656,,
2025-03-05,4.802160719838546,,
2025-03-06,4.801076675447595,,
2025-03-07,4.796018408308382,,
2025-03-10,4.793694743651774,,
2025-03-11,4.796992270233539,,
2025-03-12,4.801407663884982,,
2025-03-13,4.801185448406255,,
2025-03-14,4.796811493207298,,
2025-03-17,4.794117644014328,,
2025-03-18,4.796514174285849,,
2025-03-19,4.800685174889174,,
2025-03-20,4.801162965445644,,
2025-03-21,4.7974880990871425,,
2025-03-24,4.794588777084738,,
2025-03-25,4.796179620003245,,
2025-03-26,4.800011904126084,,
2025-03-27,4.801035794579522,,
2025-03-28,4.798048028248921,,
2025-03-31,4.7950825813362385,,
2025-04-01,4.795971810665462,,
2025-04-02,4.79940115673875,,
2025-04-03,4.800828854587598,,
2025-04-04,4.798495104223797,,
2025-04-07,4.795577745999778,,
2025-04-08,4.795872925225481,,
2025-04-09,4.798861488486974,,
2025-04-10,4.800564888682078,,
2025-04-11,4.798836250826947,,
2025-04-14,4.796057102875404,,
2025-04-15,4.795864927920522,,
2025-04-16,4.798397347298983,,
2025-04-17,4.800264115889913,,
2025-04-18,4.799080646421599,,
2025-04-21,4.79650739801728,,
2025-04-22,4.795930226068509,,
2025-04-23,4.798009728922013,,
2025-04-24,4.7999440371165365,,
2025-04-25,4.799238967475713,,
2025-04-28,4.7969189746980225,,
2025-04-29,4.796052183440134,,
2025-04-30,4.797696821522013,,
2025-05-01,4.799619372105122,,
2025-05-02,4.79932272967798,,
2025-05-05,4.79728539591292,,
2025-05-06,4.7962155000734015,,
2025-05-07,4.797454619403456,,
2025-05-08,4.799302103713248,,
2025-05-09,4.799343729924929,,
2025-05-12,4.797603031193043,,
2025-05-13,4.796406471820012,,
2025-05-14,4.797277490971952,,
2025-05-15,4.799001606900648,,
2025-05-16,4.799313588397085,,
2025-05-19,4.797870628845744,,
2025-05-20,4.796613144405633,,
2025-05-21,4.79715869054856,,
2025-05-22,4.79872484137402,,
2025-05-23,4.799243386679632,,
2025-05-26,4.798088891087144,,
2025-05-27,4.79682537748086,,
2025-05-28,4.797090807603632,,
2025-05-29,4.79847658880074,,
2025-05-30,4.799143395399897,,
2025-06-02,4.798260065999602,,
2025-06-03,4.797034834169594,,
2025-06-04,4.797066150378385,,
2025-06-05,4.7982597177341475,,
2025-06-06,4.799022883081752,,
2025-06-09,4.798387566934059,,
2025-06-10,4.79723491111635,,
2025-06-11,4.79707706369781,,
2025-06-12,4.798075461760925,,
2025-06-13,4.798889996776457,,
2025-06-16,4.798475626952938,,
2025-06-17,4.797420623116057,,
2025-06-18,4.797116183063249,,
2025-06-19,4.797923698777875,,
2025-06-20,4.798751704435295,,
2025-06-23,4.798528993220192,,
2025-06-24,4.79758845519174,,
2025-06-25,4.797176628877397,,
2025-06-26,4.797803221643908,,
2025-06-27,4.798613788854491,,
2025-06-30,4.798552663917165,,
2025-07-01,4.797736193567584,,
2025-07-02,4.797252145940526,,
2025-07-03,4.7977119926648415,,
2025-07-04,4.798480883261669,,
2025-07-07,4.7985516683045795,,
2025-07-08,4.797862745455048,,
2025-07-09,4.797337194214574,,
2025-07-10,4.7976473764029075,,
2025-07-11,4.798356539143842,,
2025-07-14,4.798530888956376,,
2025-07-15,4.797967956001999,,
2025-07-16,4.797426997336327,,
2025-07-17,4.797606347125491,,
2025-07-18,4.798243317664222,,
2025-07-21,4.798494923943242,,
2025-07-22,4.798052429210364,,
2025-07-23,4.797517555529015,,
2025-07-24,4.7975856687976215,,
2025-07-25,4.7981428969108615,,
2025-07-28,4.798447985816931,,
