Tanggal,Forecast,Actual,Error
2025-07-29,4.798117358154584,,
2025-07-30,4.797605629469718,,
2025-07-31,4.797582046871767,,
2025-08-01,4.798056188204507,,
2025-08-04,4.798393833609367,,
2025-08-05,4.798164368467568,,
2025-08-06,4.797688701372385,,
2025-08-07,4.797592252237844,,
2025-08-08,4.797983455715168,,
2025-08-11,4.79833573367789,,
2025-08-12,4.798195377828276,,
2025-08-13,4.797764919093406,,
2025-08-14,4.797613218575204,,
2025-08-15,4.79792443465429,,
2025-08-18,4.7982764450628395,,
2025-08-19,4.798212473101432,,
2025-08-20,4.797833028504735,,
2025-08-21,4.797642115012131,,
2025-08-22,4.797878444288429,,
2025-08-25,4.798218225038939,,
2025-08-26,4.7982178058529925,,
2025-08-27,4.797892298748997,,
2025-08-28,4.797676396466575,,
2025-08-29,4.797844492935002,,
2025-09-01,4.798162850701535,,
2025-09-02,4.798213506195489,,
2025-09-03,4.797942444326901,,
2025-09-04,4.797713834337083,,
2025-09-05,4.797821372932516,,
2025-09-08,4.798111652699004,,
2025-09-09,4.798201614300818,,
2025-09-10,4.797983547298934,,
2025-09-11,4.797752530358875,,
2025-09-12,4.797807744314456,,
2025-09-15,4.798065557572444,,
2025-09-16,4.798184028445202,,
2025-09-17,4.798015982234227,,
2025-09-18,4.797790916461343,,
2025-09-19,4.79780220655141,,
2025-09-22,4.798025135565614,,
2025-09-23,4.798162468109952,,
2025-09-24,4.798040345928241,,
2025-09-25,4.79782774338348,,
2025-09-26,4.7978033582581325,,
2025-09-29,4.797990651198,,
2025-09-30,4.798138450437978,,
2025-10-01,4.7980573933507,,
2025-10-02,4.79786206064565,,
2025-10-03,4.797809845193377,,
2025-10-06,4.797962114331763,,
2025-10-07,4.798113278224333,,
2025-10-08,4.798067980785325,,
2025-10-09,4.797893190260353,,
2025-10-10,4.797820397215399,,
2025-10-13,4.797939329892439,,
2025-10-14,4.798088037583458,,
2025-10-15,4.79807301668843,,
2025-10-16,4.797920696309992,,
2025-10-17,4.7978338551027795,,
2025-10-20,4.797921944811019,,
2025-10-21,4.79806360347065,,
2025-10-22,4.798073420426379,,
2025-10-23,4.797944352242409,,
2025-10-24,4.797849188317246,,
2025-10-27,4.797909491131351,,
2025-10-28,4.798040651325399,,
2025-10-29,4.798070088751535,,
2025-10-30,4.797964107449069,,
2025-10-31,4.797865504882731,,
2025-11-03,4.797901424565316,,
2025-11-04,4.798019673235815,,
2025-11-05,4.798063869639796,,
2025-11-06,4.797980054407631,,
2025-11-07,4.79788205459318,,
2025-11-10,4.797897158074659,,
2025-11-11,4.798000997183756,,
2025-11-12,4.798055542935638,,
2025-11-13,4.79799239739946,,
2025-11-14,4.797898226750963,,
2025-11-17,4.797896090310861,,
2025-11-18,4.797984808108206,,
2025-11-19,4.798045807127157,,
2025-11-20,4.798001423560196,,
2025-11-21,4.797913543588179,,
2025-11-24,4.797897628953076,,
2025-11-25,4.797971169710556,,
2025-11-26,4.798035271497521,,
2025-11-27,4.798007476792899,,
2025-11-28,4.797927650444023,,
2025-12-01,4.797901209150486,,
2025-12-02,4.797960046111741,,
2025-12-03,4.798024452863916,,
2025-12-04,4.798010934871442,,
2025-12-05,4.797940303671095,,
2025-12-08,4.79790630740187,,
2025-12-09,4.797951322651111,,
2025-12-10,4.798013776113516,,
2025-12-11,4.7980121898885715,,
2025-12-12,4.7979513571298815,,
2025-12-15,4.79791245129559,,
2025-12-16,4.797944825285882,,
2025-12-17,4.798003577771825,,
2025-12-18,4.7980116320585084,,
2025-12-19,4.797960748009861,,
2025-12-22,4.797919225591229,,
2025-12-23,4.7979403382040955,,
2025-12-24,4.797994111885528,,
2025-12-25,4.798009636767552,,
2025-12-26,4.797968482593572,,
2025-12-29,4.797926275154436,,
2025-12-30,4.797937619401097,,
2025-12-31,4.797985557564106,,
