ds,y
2024-12-31,5.6940843352793635
2025-01-02,5.705251120720118
2025-01-03,5.703713762711381
2025-01-06,5.708710121568703
2025-01-07,5.690098732950015
2025-01-08,5.7124208468897875
2025-01-09,5.699048892769265
2025-01-10,5.701404796490615
2025-01-13,5.706812861666358
2025-01-14,5.69549835196272
2025-01-15,5.687666735618147
2025-01-16,5.702057074508924
2025-01-17,5.700383766327544
2025-01-20,5.701340941114486
2025-01-21,5.69902039759604
2025-01-22,5.698145095287907
2025-01-23,5.704462709495704
2025-01-24,5.690680859825678
2025-01-30,5.6899507923061945
2025-01-31,5.688919866627317
2025-02-03,5.684471164952195
2025-02-04,5.684471164952195
2025-02-05,5.6844529746735715
2025-02-06,5.6844529746735715
2025-02-07,5.6844529746735715
2025-02-10,5.684471164952195
2025-02-11,5.684471164952195
2025-02-12,5.6844529746735715
2025-02-13,5.6844529746735715
2025-02-14,5.6844529746735715
2025-02-17,5.684471164952195
2025-02-18,5.684471164952195
2025-02-19,5.6844529746735715
2025-02-20,5.6844529746735715
2025-02-21,5.6844529746735715
2025-02-24,5.684471164952195
2025-02-25,5.684471164952195
2025-02-26,5.684471164952195
2025-02-27,5.684471164952195
2025-02-28,5.684471164952195
2025-03-03,5.684471164952195
2025-03-04,5.684471164952195
2025-03-05,5.684471164952195
2025-03-06,5.684471164952195
2025-03-07,5.684471164952195
2025-03-10,5.684471164952195
2025-03-11,5.684471164952195
2025-03-12,5.684471164952195
2025-03-13,5.684466048930449
2025-03-14,5.684471164952195
2025-03-17,5.6844529746735715
2025-03-18,5.684471164952195
2025-03-19,5.684471164952195
2025-03-20,5.684471164952195
2025-03-21,5.684471164952195
2025-03-24,5.684471164952195
2025-03-25,5.684471164952195
2025-03-26,5.684471164952195
2025-03-27,5.684471164952195
2025-03-28,5.684471164952195
2025-04-01,5.684471164952195
2025-04-02,5.684471164952195
2025-04-03,5.684471164952195
2025-04-04,5.684471164952195
2025-04-07,5.684471164952195
2025-04-08,5.684471164952195
2025-04-09,5.684471164952195
2025-04-10,5.684471164952195
2025-04-11,5.684471164952195
2025-04-14,5.684471164952195
2025-04-15,5.684471164952195
2025-04-16,5.684471164952195
2025-04-21,5.684471164952195
2025-04-22,5.684471164952195
2025-04-23,5.684471164952195
2025-04-24,5.684471164952195
2025-04-25,5.684471164952195
2025-04-28,5.684471164952195
2025-04-29,5.684471164952195
2025-04-30,5.684471164952195
2025-05-02,5.684471164952195
2025-05-05,5.684471164952195
2025-05-06,5.684471164952195
2025-05-07,5.684471164952195
2025-05-08,5.684471164952195
2025-05-09,5.684471164952195
2025-05-12,5.684471164952195
2025-05-13,5.684471164952195
2025-05-14,5.684471164952195
2025-05-15,5.684471164952195
2025-05-16,5.684471164952195
2025-05-19,5.684471164952195
2025-05-20,5.684471164952195
2025-05-21,5.684471164952195
2025-05-22,5.684471164952195
2025-05-23,5.684471164952195
2025-05-26,5.684471164952195
2025-05-27,5.684471164952195
2025-05-28,5.684471164952195
2025-05-30,5.684471164952195
2025-06-02,5.684471164952195
2025-06-03,5.684471164952195
2025-06-04,5.684471164952195
2025-06-05,5.684471164952195
2025-06-09,5.684471164952195
2025-06-10,5.684471164952195
2025-06-11,5.684471164952195
2025-06-12,5.684471164952195
2025-06-13,5.684471164952195
2025-06-16,5.684471164952195
2025-06-17,5.684471164952195
2025-06-18,5.684471164952195
2025-06-19,5.684471164952195
2025-06-20,5.684471164952195
2025-06-23,5.684471164952195
2025-06-24,5.684471164952195
2025-06-25,5.684471164952195
2025-06-26,5.684471164952195
2025-06-27,5.684471164952195
2025-06-30,5.684471164952195
2025-07-01,5.684471164952195
2025-07-02,5.684471164952195
2025-07-03,5.684471164952195
2025-07-04,5.684471164952195
2025-07-07,5.684471164952195
2025-07-08,5.684471164952195
2025-07-09,5.684471164952195
2025-07-10,5.684471164952195
2025-07-11,5.684471164952195
2025-07-14,5.684471164952195
2025-07-15,5.684471164952195
2025-07-16,5.684471164952195
2025-07-17,5.684471164952195
2025-07-18,5.684471164952195
2025-07-21,5.684471164952195
2025-07-22,5.684471164952195
2025-07-23,5.684471164952195
2025-07-24,5.684471164952195
2025-07-25,5.684471164952195
2025-07-29,5.684471164952195
2025-07-30,5.684471164952195
2025-07-31,5.684471164952195
2025-08-01,5.684471164952195
2025-08-04,5.684471164952195
2025-08-05,5.684471164952195
2025-08-06,5.684471164952195
2025-08-07,5.684471164952195
2025-08-08,5.684471164952195
2025-08-11,5.684471164952195
2025-08-12,5.684471164952195
2025-08-13,5.684471164952195
2025-08-14,5.684471164952195
2025-08-15,5.684471164952195
2025-08-18,5.684471164952195
2025-08-19,5.684471164952195
2025-08-20,5.684471164952195
2025-08-21,5.684471164952195
2025-08-22,5.684471164952195
2025-08-25,5.684471164952195
2025-08-26,5.684471164952195
2025-08-27,5.684471164952195
2025-08-28,5.684471164952195
2025-08-29,5.684471164952195
2025-09-01,5.684471164952195
2025-09-02,5.684471164952195
2025-09-03,5.684471164952195
2025-09-04,5.684471164952195
2025-09-05,5.6844529746735715
2025-09-08,5.684471164952195
2025-09-09,5.684471164952195
2025-09-10,5.684471164952195
2025-09-11,5.684471164952195
2025-09-12,5.684471164952195
2025-09-15,5.684466048930449
2025-09-16,5.684471164952195
2025-09-17,5.684471164952195
2025-09-18,5.684471164952195
2025-09-19,5.684471164952195
2025-09-22,5.684471164952195
2025-09-23,5.684471164952195
2025-09-24,5.684471164952195
2025-09-25,5.684471164952195
2025-09-26,5.684471164952195
2025-09-29,5.684471164952195
2025-09-30,5.684471164952195
