ds,y,kolom
2024-07-01,4.418324271018956,Terakhir
2024-07-02,4.5401624801856135,Terakhir
2024-07-03,4.513969402427119,Terakhir
2024-07-04,4.529403712336275,Terakhir
2024-07-05,4.5230814577214264,Terakhir
2024-07-08,4.541115560312464,Terakhir
2024-07-08,4.541115560312464,Terakhir
2024-07-08,4.541115560312464,Terakhir
2024-07-09,4.574115743787312,Terakhir
2024-07-10,4.5182416379306005,Terakhir
2024-07-11,4.535864074330768,Terakhir
2024-07-12,4.568658422535562,Terakhir
2024-07-15,4.561278239842006,Terakhir
2024-07-15,4.561278239842006,Terakhir
2024-07-15,4.561278239842006,Terakhir
2024-07-16,4.522343351058668,Terakhir
2024-07-17,4.474205526554639,Terakhir
2024-07-18,4.480074160621326,Terakhir
2024-07-19,4.508387721904239,Terakhir
2024-07-22,4.508007680838238,Terakhir
2024-07-22,4.508007680838238,Terakhir
2024-07-22,4.508007680838238,Terakhir
2024-07-23,4.501525322960601,Terakhir
2024-07-24,4.4556292645263715,Terakhir
2024-07-25,4.473527288408564,Terakhir
2024-07-26,4.489291077095367,Terakhir
2024-07-29,4.559021877638976,Terakhir
2024-07-29,4.559021877638976,Terakhir
2024-07-29,4.559021877638976,Terakhir
2024-07-30,4.572741428507515,Terakhir
2024-07-31,4.537886613325551,Terakhir
2024-08-01,4.598870362649892,Terakhir
2024-08-02,4.627104062747846,Terakhir
2024-08-05,4.627184575058993,Terakhir
2024-08-05,4.626943505022561,Terakhir
2024-08-05,4.626943505022561,Terakhir
2024-08-06,4.5868169107279195,Terakhir
2024-08-07,4.610819929097712,Terakhir
2024-08-08,4.620729069987601,Terakhir
2024-08-09,4.681766050665421,Terakhir
2024-08-12,4.709983477215564,Terakhir
2024-08-12,4.709983477215564,Terakhir
2024-08-12,4.709983477215564,Terakhir
2024-08-13,4.696889119019093,Terakhir
2024-08-14,4.660950978700184,Terakhir
2024-08-15,4.814062874327312,Terakhir
2024-08-16,4.891628134934828,Terakhir
2024-08-19,4.955063584048393,Terakhir
2024-08-19,4.955063584048393,Terakhir
2024-08-19,4.955063584048393,Terakhir
2024-08-20,5.02397724552206,Terakhir
2024-08-21,5.122737171447217,Terakhir
2024-08-22,5.08833975726291,Terakhir
2024-08-23,5.005388839703989,Terakhir
2024-08-26,5.115761171680634,Terakhir
2024-08-26,5.115761171680634,Terakhir
2024-08-26,5.115761171680634,Terakhir
2024-08-27,5.175440208613328,Terakhir
2024-08-28,5.187534831290949,Terakhir
2024-08-29,5.072917520871061,Terakhir
2024-08-30,5.067288186251058,Terakhir
2024-09-02,5.063492689373587,Terakhir
2024-09-02,5.063492689373587,Terakhir
2024-09-02,5.063492689373587,Terakhir
2024-09-03,5.185133558601586,Terakhir
2024-09-04,5.148437651452154,Terakhir
2024-09-05,5.072434094866938,Terakhir
2024-09-06,5.076487573965932,Terakhir
2024-09-09,5.061885791822111,Terakhir
2024-09-09,5.061885791822111,Terakhir
2024-09-09,5.061885791822111,Terakhir
2024-09-10,5.04214204136393,Terakhir
2024-09-11,5.037072700736835,Terakhir
2024-09-12,5.039837300926429,Terakhir
2024-09-13,5.034862414611253,Terakhir
2024-09-16,5.066139055606756,Terakhir
2024-09-16,5.066139055606756,Terakhir
2024-09-16,5.066139055606756,Terakhir
2024-09-17,5.050963918381515,Terakhir
2024-09-18,5.065423260730299,Terakhir
2024-09-19,5.172619327653617,Terakhir
2024-09-20,5.204692382832113,Terakhir
2024-09-23,5.193733485866459,Terakhir
2024-09-23,5.193733485866459,Terakhir
2024-09-23,5.193733485866459,Terakhir
2024-09-24,5.195682020721873,Terakhir
2024-09-25,5.215618595904566,Terakhir
2024-09-26,5.197773703658166,Terakhir
2024-09-27,5.23151965039336,Terakhir
2024-09-30,5.137424582966217,Terakhir
2024-09-30,5.137424582966217,Terakhir
2024-09-30,5.137424582966217,Terakhir
2024-10-01,5.093665963969877,Terakhir
2024-10-02,5.164933875140962,Terakhir
2024-10-03,5.145440074343131,Terakhir
2024-10-04,5.191683923767275,Terakhir
2024-10-07,5.138889471524763,Terakhir
2024-10-07,5.138889471524763,Terakhir
2024-10-07,5.138889471524763,Terakhir
2024-10-08,5.105309108855036,Terakhir
2024-10-09,5.166845254258095,Terakhir
2024-10-10,5.129497494005801,Terakhir
2024-10-11,5.146799164526724,Terakhir
2024-10-14,5.12082111389229,Terakhir
2024-10-14,5.12082111389229,Terakhir
2024-10-14,5.12082111389229,Terakhir
2024-10-15,5.016442915647312,Terakhir
2024-10-16,4.974749909998624,Terakhir
2024-10-17,4.985333490636767,Terakhir
2024-10-18,4.9723103935081,Terakhir
2024-10-21,4.949201250377509,Terakhir
2024-10-21,4.949201250377509,Terakhir
2024-10-21,4.949201250377509,Terakhir
2024-10-22,5.064837225161843,Terakhir
2024-10-23,5.161145752999312,Terakhir
2024-10-24,5.2206890755877975,Terakhir
2024-10-25,5.224703239656934,Terakhir
2024-10-28,5.203224346187221,Terakhir
2024-10-28,5.203224346187221,Terakhir
2024-10-28,5.203224346187221,Terakhir
2024-10-29,5.223491249101674,Terakhir
2024-10-30,5.191161147518378,Terakhir
2024-10-31,5.244359929564357,Terakhir
2024-11-01,5.168985804839831,Terakhir
2024-11-04,5.110343893029364,Terakhir
2024-11-04,5.110343893029364,Terakhir
2024-11-04,5.110343893029364,Terakhir
2024-11-05,5.125531874346728,Terakhir
2024-11-06,5.138017989774133,Terakhir
2024-11-07,5.0784515391659255,Terakhir
2024-11-08,5.057594120648534,Terakhir
2024-11-11,5.0231086749464,Terakhir
