ds,y
2024-07-01,4.420308544052603
2024-07-02,4.496088065851598
2024-07-03,4.488741621494898
2024-07-04,4.584121571985455
2024-07-05,4.567300819002262
2024-07-08,4.655439402793491
2024-07-09,4.598381528712326
2024-07-10,4.515190596309502
2024-07-11,4.4500151470330165
2024-07-12,4.456003553104493
2024-07-15,4.45212005686275
2024-07-16,4.451312515530648
2024-07-17,4.41691151682852
2024-07-18,4.432062272497317
2024-07-19,4.579400983758446
2024-07-22,4.546414498489196
2024-07-23,4.431247734309985
2024-07-24,4.51330364104137
2024-07-25,4.391487465029924
2024-07-26,4.60947376622776
2024-07-29,4.647156373703061
2024-07-30,4.524051310350448
2024-07-31,4.623181479398816
2024-08-01,4.719401543842771
2024-08-02,4.724926002610975
2024-08-05,4.556881919261963
2024-08-06,4.600916395191103
2024-08-07,4.6459766104770575
2024-08-08,4.729390803390696
2024-08-09,4.723427493759015
2024-08-12,4.732196163844272
2024-08-13,4.747020699010226
2024-08-14,4.7645857626956785
2024-08-15,4.926040887455636
2024-08-16,4.936654623132104
2024-08-19,5.013716718325932
2024-08-20,5.103430700751266
2024-08-21,5.149760454991652
2024-08-22,5.011032090659063
2024-08-23,5.1507920553221105
2024-08-26,5.202904878020137
2024-08-27,5.10476797477011
2024-08-28,5.071683430171455
2024-08-29,5.019630874379492
2024-08-30,5.101698380106431
2024-09-02,5.157690490812212
2024-09-03,5.15068131448339
2024-09-04,5.048347691767429
2024-09-05,5.08175411389714
2024-09-06,5.081442103773355
2024-09-09,5.0565478126692645
2024-09-10,5.041495176037321
2024-09-11,5.016529700860444
2024-09-12,5.022982094202715
2024-09-13,5.02524595994501
2024-09-16,5.03911816745498
2024-09-17,5.049193865747967
2024-09-18,5.196980064209531
2024-09-19,5.236407648690403
2024-09-20,5.247994480986798
2024-09-23,5.258181265798601
2024-09-24,5.251111665510101
2024-09-25,5.2069116161908955
2024-09-26,5.214663182096373
2024-09-27,5.150493833095724
2024-09-30,5.051221018988115
2024-10-01,5.1454369870800125
2024-10-02,5.071949700541075
2024-10-03,5.160890798696537
2024-10-04,5.157782298520034
2024-10-07,5.132734201775325
2024-10-08,5.173793645521029
2024-10-09,5.119483218138922
2024-10-10,5.101623385691453
2024-10-11,5.155992858548239
2024-10-14,4.962147446682857
2024-10-15,4.941867024595791
2024-10-16,4.907223484061207
2024-10-17,4.959521677010574
2024-10-18,4.939243095864979
2024-10-21,4.993185086358682
2024-10-22,5.244980374042592
2024-10-23,5.2119621648606635
2024-10-24,5.275131458002765
2024-10-25,5.264278504430053
2024-10-28,5.15179964878756
2024-10-29,5.193607799036918
2024-10-30,5.1615338857535455
2024-10-31,5.180263377209674
2024-11-01,5.163803394851275
2024-11-04,5.039999082300366
2024-11-05,5.170234265657276
2024-11-06,5.100157389804105
2024-11-07,5.022688258344987
2024-11-08,5.0136841292731775
2024-11-11,4.906284821994595
2024-11-12,4.942888614087411
2024-11-13,4.974835973916519
2024-11-14,4.977616191356568
2024-11-15,4.958646894544832
2024-11-18,4.94271116757135
2024-11-19,4.9433720522336095
2024-11-20,5.009434327302261
2024-11-21,4.9085525401267605
2024-11-22,4.92307187250408
2024-11-25,5.114130526957681
2024-11-26,5.1467724012406535
2024-11-27,5.148557611446962
2024-11-28,5.139999591539258
2024-11-29,5.075952540372401
2024-12-02,5.069985207773903
2024-12-03,5.07549420255227
2024-12-04,5.186497946718241
2024-12-05,5.136513284679747
2024-12-06,5.1053473988169396
2024-12-09,5.180004370516034
2024-12-10,5.172705193847143
2024-12-11,5.252238149773471
2024-12-12,5.171908658582081
2024-12-13,5.130392156381047
2024-12-16,5.107215276509429
2024-12-17,5.082163211569268
2024-12-18,5.036835460199689
2024-12-19,4.923630180509886
2024-12-20,4.9008305953175935
2024-12-23,4.922543162977182
2024-12-24,4.933221880222651
2024-12-25,4.911590892407834
2024-12-26,4.899259640866188
2024-12-27,4.914759398949468
2024-12-30,4.897416396291548
2024-12-31,4.902709443743076
2025-01-01,4.902418721693056
2025-01-02,4.956063121173226
2025-01-03,4.934246616822385
2025-01-06,4.93086140513752
2025-01-07,4.858626573846017
2025-01-08,4.8924064548848065
2025-01-09,4.9130719603216635
2025-01-10,4.888310779782184
2025-01-13,4.849703650049767
2025-01-14,4.803414407831793
2025-01-15,4.842539629734184
2025-01-16,4.880037967206222
2025-01-17,4.937601564297575
2025-01-20,4.927908210787401
2025-01-21,4.944049835002918
2025-01-22,4.905500860320246
2025-01-23,4.920419543806144
2025-01-24,4.918871823286866
2025-01-27,4.9069938313760675
2025-01-28,4.90066593017598
2025-01-29,4.896023279507062
2025-01-30,4.8320407791957685
2025-01-31,4.788817919166201
